,Dataset,Method,Metric,Patient,Performance
193,V-23_24,MMSBM,Precision,195,0.8076923073816568
194,V-23_24,MMSBM,Accuracy,195,0.8389830508474576
195,V-23_24,MMSBM,Recall,194,0.7045454545454546
196,V-23_24,MMSBM,Precision,194,0.815789473469529
197,V-23_24,MMSBM,Accuracy,194,0.7711864406779662
198,V-23_24,MMSBM,Recall,197,0.3
199,V-23_24,MMSBM,Precision,197,0.6666666659259258
200,V-23_24,MMSBM,Accuracy,197,0.8135593220338982
201,V-23_24,MMSBM,Recall,178,0.7380952380952381
202,V-23_24,MMSBM,Precision,178,0.77499999980625
203,V-23_24,MMSBM,Accuracy,178,0.7796610169491525
204,V-23_24,MMSBM,Recall,191,0.3
205,V-23_24,MMSBM,Precision,191,0.7499999990624999
206,V-23_24,MMSBM,Accuracy,191,0.8559322033898306
207,V-23_24,MMSBM,Recall,190,0.4444444444444444
208,V-23_24,MMSBM,Precision,190,0.7272727266115702
209,V-23_24,MMSBM,Accuracy,190,0.864406779661017
210,V-23_24,MMSBM,Recall,193,0.68
211,V-23_24,MMSBM,Precision,193,0.7083333330381945
212,V-23_24,MMSBM,Accuracy,193,0.864406779661017
213,V-23_24,MMSBM,Recall,192,0.5666666666666667
214,V-23_24,MMSBM,Precision,192,0.6296296293964334
215,V-23_24,MMSBM,Accuracy,192,0.7542372881355932
216,V-23_24,MMSBM,Recall,115,0.6341463414634146
217,V-23_24,MMSBM,Precision,115,0.8666666663777778
218,V-23_24,MMSBM,Accuracy,115,0.8050847457627118
219,V-23_24,MMSBM,Recall,114,0.5681818181818182
220,V-23_24,MMSBM,Precision,114,0.6944444442515432
221,V-23_24,MMSBM,Accuracy,114,0.6949152542372882
222,V-23_24,MMSBM,Recall,88,0.5882352941176471
223,V-23_24,MMSBM,Precision,88,0.7142857141156462
224,V-23_24,MMSBM,Accuracy,88,0.7372881355932204
225,V-23_24,MMSBM,Recall,89,0.5
226,V-23_24,MMSBM,Precision,89,0.6071428569260204
227,V-23_24,MMSBM,Accuracy,89,0.7542372881355932
228,V-23_24,MMSBM,Recall,111,0.75
229,V-23_24,MMSBM,Precision,111,0.839999999832
230,V-23_24,MMSBM,Accuracy,111,0.7627118644067796
231,V-23_24,MMSBM,Recall,110,0.5813953488372093
232,V-23_24,MMSBM,Precision,110,0.7352941174307959
233,V-23_24,MMSBM,Accuracy,110,0.7033898305084746
234,V-23_24,MMSBM,Recall,113,0.6829268292682927
235,V-23_24,MMSBM,Precision,113,0.7777777775617284
236,V-23_24,MMSBM,Accuracy,113,0.7966101694915254
237,V-23_24,MMSBM,Recall,112,0.6944444444444444
238,V-23_24,MMSBM,Precision,112,0.7352941174307959
239,V-23_24,MMSBM,Accuracy,112,0.8050847457627118
240,V-23_24,MMSBM,Recall,82,0.5238095238095238
241,V-23_24,MMSBM,Precision,82,0.7096774191259105
242,V-23_24,MMSBM,Accuracy,82,0.728813559322034
243,V-23_24,MMSBM,Recall,83,0.6285714285714286
244,V-23_24,MMSBM,Precision,83,0.7333333330888888
245,V-23_24,MMSBM,Accuracy,83,0.8135593220338984
246,V-23_24,MMSBM,Recall,80,0.7254901960784313
247,V-23_24,MMSBM,Precision,80,0.7872340423856948
248,V-23_24,MMSBM,Accuracy,80,0.7033898305084747
249,V-23_24,MMSBM,Recall,81,0.6153846153846154
250,V-23_24,MMSBM,Precision,81,0.7272727270523416
251,V-23_24,MMSBM,Accuracy,81,0.7627118644067797
